Session_ID,Customer_ID,Visit_Date,Age,Gender,City,Customer_Type,Previous_Purchases,Device,Traffic_Source,Session_Duration_Min,Pages_Viewed,Products_Viewed,Product_Category,Item_Purchased,Product_Price_INR,Added_to_Cart,Cart_Value_INR,Discount_Offered,Discount_Percent,Discount_Used,Purchased,Purchase_Amount_INR,Payment_Method,Delivery_Type,Review_Rating,Customer_Satisfaction
SES505319,CUST11585,2025-10-31 00:00:00,28,FEMALE,Lucknow,New,1,Desktop,Facebook,17.7,6,2,Fashion,T-Shirt,5890,Yes,10537,Yes,10,No,Yes,9447,UPI,Standard,3,3.8
SES503219,CUST10452,2026-02-14 00:00:00,43,MALE,Lucknow,Returning,8,Mobile,Facebook,9.9,5,2,Electronics,Headphones,29639,Yes,59330,Yes,10,Yes,Yes,36054,Debit Card,Standard,4.4,4.7
SES505118,CUST11821,2025-06-29 00:00:00,36,MALE,Jaipur,New,0,Desktop,Facebook,6.7,10,3,Beauty,Shampoo,3667,No,0,No,0,No,No,0,Debit Card,Same Day,,
SES501667,CUST10036,2026-02-24 00:00:00,26,MALE,Delhi,New,0,Desktop,Google,4.5,6,5,Books,Academic Book,798,Yes,1504,No,0,No,Yes,1136,Debit Card,Standard,4.1,5
SES503660,CUST10940,2025-09-24 00:00:00,36,FEMALE,Hyderabad,New,0,Mobile,Email,11.2,6,4,Home & Kitchen,Table Lamp,14204,Yes,12364,Yes,20,Yes,Yes,11134,Wallet,Express,3.9,4.6
SES505628,CUST11999,2025-08-28 00:00:00,39,MALE,Ahmedabad,Returning,11,Tablet,Referral,7.9,1,4,Fashion,Sneakers,406,Yes,348,No,0,No,Yes,346,Debit Card,Express,4.3,3.8
SES505138,CUST11985,2026-05-31 00:00:00,18,MALE,Pune,New,0,Mobile,Instagram,10.6,8,3,Fashion,T-Shirt,2350,Yes,2971,No,0,No,Yes,3384,UPI,Same Day,4,3.3
SES502446,CUST10579,2025-10-03 00:00:00,37,FEMALE,Hyderabad,Returning,13,Mobile,YouTube,6,8,4,Fashion,Sneakers,3406,Yes,3858,Yes,10,Yes,Yes,2865,Credit Card,Same Day,3,4.8
SES505253,CUST11739,2026-02-05 00:00:00,25,MALE,Delhi,New,0,Mobile,Direct,11.6,5,7,Beauty,Face Wash,1715,Yes,2469,Yes,15,No,Yes,3306,Net Banking,Standard,3.9,4.9
SES501371,CUST10729,2026-03-19 00:00:00,40,FEMALE,Delhi,New,1,Desktop,Direct,3.8,7,3,Books,Academic Book,2146,No,0,Yes,5,Yes,No,0,Credit Card,Standard,,
SES502143,CUST11206,2025-09-10 00:00:00,37,MALE,Ahmedabad,Returning,10,Mobile,Direct,4.1,8,3,Beauty,Shampoo,271,No,0,No,0,No,No,0,UPI,Standard,,
SES505681,CUST10156,2026-01-12 00:00:00,26,MALE,Chennai,Returning,11,Mobile,Direct,10.2,6,8,Home & Kitchen,Storage Box,9777,Yes,22825,No,0,No,No,0,Cash on Delivery,Standard,,
SES500692,CUST11255,2025-07-10 00:00:00,31,MALE,Bangalore,New,0,Desktop,Instagram,5,7,4,Electronics,Headphones,9749,No,0,Yes,10,Yes,No,0,UPI,Standard,,
SES501965,CUST10652,2026-06-17 00:00:00,42,FEMALE,Delhi,New,0,Mobile,Google,8,6,6,Fashion,T-Shirt,2119,No,0,Yes,10,Yes,Yes,2359,Net Banking,Standard,3.9,3.4
SES503616,CUST11012,2025-06-24 00:00:00,18,MALE,Mumbai,New,0,Mobile,Referral,2.2,7,3,Home & Kitchen,Storage Box,4163,Yes,6379,No,0,No,No,0,Cash on Delivery,Standard,,
SES500697,CUST12073,2025-11-07 00:00:00,25,FEMALE,Pune,Returning,3,Mobile,YouTube,5.9,4,5,Beauty,Moisturizer,2885,Yes,4718,Yes,20,Yes,Yes,3031,Debit Card,Express,4.3,4.2
SES500531,CUST12037,2026-01-14 00:00:00,43,MALE,Bangalore,New,0,Tablet,Google,6.9,7,6,Electronics,Power Bank,8210,Yes,7617,No,0,No,No,0,UPI,Standard,,
SES505101,CUST10426,2025-03-14 00:00:00,20,MALE,Delhi,Returning,5,Mobile,Google,3.4,5,3,Home & Kitchen,Bedsheet,7898,Yes,11575,No,0,No,Yes,12515,UPI,Standard,3.6,3.5
SES503986,CUST11493,2025-03-16 00:00:00,38,FEMALE,Mumbai,Returning,15,Mobile,Instagram,12.3,6,3,Books,Academic Book,225,No,0,No,0,No,Yes,283,Debit Card,Same Day,2.2,3
SES503327,CUST10061,2025-01-23 00:00:00,38,FEMALE,Kolkata,New,1,Mobile,Direct,3.1,9,2,Sports,Cricket Bat,9144,Yes,9938,Yes,15,Yes,Yes,10858,UPI,Standard,3.5,4.1
SES505431,CUST11587,2026-05-09 00:00:00,28,MALE,Ahmedabad,New,1,Mobile,Google,18.8,4,6,Sports,Dumbbells,11587,No,0,Yes,25,Yes,Yes,16508,UPI,Express,4.1,4.7
SES501919,CUST10789,2025-02-23 00:00:00,35,MALE,Pune,New,0,Mobile,Direct,11.3,10,3,Electronics,Power Bank,8179,Yes,9424,No,0,No,Yes,9955,Credit Card,Standard,3.7,5
SES503746,CUST11084,2026-03-20 00:00:00,32,FEMALE,Ahmedabad,Returning,13,Desktop,Email,12.9,7,2,Home & Kitchen,Bedsheet,14537,No,0,Yes,5,No,No,0,Credit Card,Same Day,,
SES500764,CUST12040,2025-02-03 00:00:00,51,MALE,Bangalore,New,0,Mobile,Google,12.1,8,6,Home & Kitchen,Coffee Maker,14038,Yes,21504,Yes,10,Yes,No,0,Cash on Delivery,Standard,,
SES503066,CUST10552,2026-02-05 00:00:00,18,FEMALE,Hyderabad,Returning,4,Mobile,Instagram,14.9,7,3,Electronics,Wireless Earbuds,3806,Yes,4256,No,0,No,Yes,3282,Cash on Delivery,Standard,4.7,4.5
SES500024,CUST12048,2026-04-25 00:00:00,27,MALE,Chennai,New,0,Mobile,Direct,20.5,9,4,Electronics,Bluetooth Speaker,12217,No,0,No,0,No,No,0,Net Banking,Standard,,
SES503894,CUST10072,2025-05-29 00:00:00,18,FEMALE,Jaipur,New,0,Mobile,Facebook,6.4,4,5,Home & Kitchen,Bedsheet,7342,Yes,10675,No,0,No,No,0,Credit Card,Standard,,
SES505839,CUST10955,2026-02-16 00:00:00,34,FEMALE,Jaipur,Returning,11,Tablet,Instagram,6.8,5,4,Sports,Football,8287,No,0,Yes,25,Yes,No,0,Wallet,Express,,
SES505044,CUST10889,2026-06-03 00:00:00,30,MALE,Pune,New,0,Mobile,Facebook,5.8,10,5,Sports,Cricket Bat,10301,No,0,No,0,No,No,0,UPI,Express,,
SES500466,CUST11325,2025-06-30 00:00:00,29,MALE,Chennai,New,0,Tablet,YouTube,8.5,8,2,Beauty,Perfume,3203,No,0,Yes,15,Yes,No,0,UPI,Standard,,
SES501658,CUST11444,2025-12-11 00:00:00,42,FEMALE,Delhi,Returning,9,Mobile,Referral,6.1,7,6,Home & Kitchen,Bedsheet,13652,No,0,No,0,No,No,0,Wallet,Same Day,,
SES500085,CUST10780,2025-08-31 00:00:00,48,MALE,Delhi,New,0,Mobile,Google,18.8,8,3,Beauty,Face Wash,1207,Yes,1720,No,0,No,Yes,1530,Credit Card,Express,3.4,1.8
